index,change,genre,appGenre,publisher_id,is_ad,app_appId,app_appName,app_subtitle,app_icon,app_publisher,app_country,app_file_size,app_price,class_ranking
30,2,总榜,总榜,1866910537,False,6757433259,勇敢幻想-Q版剪纸新国风放置回合三国卡牌游戏,Q萌放置挂机-复古经典战法牧对撞游戏,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/41/5f/e8/415fe8bd-28b0-30e9-3a97-799d95e9a5ba/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/180x180bb.png,HNQYGAME,cn,586626048,1.00,48
31,-2,总榜,总榜,1875186535,False,6758034339,召唤三国:梦起江山,极品尤物 沉浸体验,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/d0/a8/00/d0a80042-2a26-f9a8-4176-03d16c546de1/AppIcon-0-0-1x_U007emarketing-0-11-0-85-220.png/180x180bb.png,QL Network,cn,708982784,1.00,50
32,-1,总榜,总榜,1450144091,False,1517349382,群雄时代 - 单机三国战棋策略游戏,小时候最爱玩的单机三国志策略游戏,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/31/d6/59/31d659ac-4c40-88f1-37a7-515be7536ce7/AppIcon-0-0-1x_U007emarketing-0-10-0-85-220.png/180x180bb.png,Yanyue Games,cn,368637952,1.00,52
33,6,总榜,总榜,1284300915,False,1110646984,地下城堡2: 黑暗觉醒,探索超乎想象的异世界,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/eb/66/8b/eb668b04-4051-b156-24c1-d9f8e8b21c14/AppIcon-1x_U007emarketing-0-11-0-85-220-0.png/180x180bb.png,"XIAMEN TAOJIN INTERACTIVE NETWORK CO.,LTD",cn,661626880,1.00,54
34,-1,总榜,总榜,370828169,False,1665759338,坐在罐子里的人,暂无数据,https://is1-ssl.mzstatic.com/image/thumb/Purple116/v4/d7/e7/4b/d7e74bbc-b369-f6de-7538-f3daa134d935/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/180x180bb.png,Noodlecake,cn,317818880,22.00,56
35,-1,总榜,总榜,929034871,False,1614200925,部落与弯刀,大漠魔幻开放世界,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/64/19/c6/6419c6e4-5569-c176-f292-f0e744723b9d/AppIcon-1x_U007emarketing-0-8-0-85-220-0.png/180x180bb.png,X.D. Network Inc.,cn,2054006784,18.00,59
36,0,总榜,总榜,1502193073,False,1476649036,帕斯卡契约,高品质单机动作RPG,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/4d/5f/95/4d5f9550-dcee-1191-97b3-0a1ce028ad03/AppIcon-0-0-1x_U007emarketing-0-7-0-85-220.png/180x180bb.png,Giant Global,cn,3036428288,35.00,60
37,0,总榜,总榜,929034871,False,1271620263,艾希 - ICEY,暂无数据,https://is1-ssl.mzstatic.com/image/thumb/Purple125/v4/42/e4/0b/42e40bed-ba27-1450-9463-da43e44010d3/AppIcon-1x_U007emarketing-0-9-85-220.png/180x180bb.png,X.D. Network Inc.,cn,1156119552,12.00,62
38,2,总榜,总榜,929034871,False,1584313012,笼中窥梦,烧脑视错觉解谜游戏,https://is1-ssl.mzstatic.com/image/thumb/Purple126/v4/0d/e0/66/0de0660e-222b-b9bc-66d8-5fb98d4567a0/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/180x180bb.png,X.D. Network Inc.,cn,942184448,18.00,64
39,-4,总榜,总榜,1757778024,False,6748329748,我是小鱼儿,化身小鱼，3D物理模拟冒险手游,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/76/9d/24/769d2444-f832-5ed7-2b15-fed15cbda664/AppIcon-1x_U007emarketing-0-8-0-85-220-0.png/180x180bb.png,厦门快爆游网络科技有限公司,cn,2438715392,12.00,65
40,-2,总榜,总榜,981521029,False,6757136435,绿水镇,微恐惊悚解谜,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/90/c3/b8/90c3b862-1a8b-e559-2637-8df576412e50/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/180x180bb.png,"COTTONGAME Network Technology Co., Ltd.",cn,422728704,1.00,67
